verse_id	version
5009005	KJV
5009024	KJV
5010001	KJV
5010011	KJV
5011001	KJV
5011007	KJV
5011012	KJV
5011017	KJV
5011025	KJV
5012001	KJV
5012001	KJV
5012014	KJV
5012019	KJV
5012028	KJV
5013001	KJV
5013005	KJV
5013011	KJV
5014001	KJV
5014002	KJV
5014010	KJV
5014020	KJV
5014021	KJV
5014027	KJV
5015001	KJV
5015006	KJV
5015011	KJV
5015018	KJV
5016001	KJV
5016008	KJV
5016012	KJV
5016017	KJV
5016020	KJV
5017001	KJV
5017007	KJV
5017013	KJV
5017017	KJV
5018001	KJV
5018005	KJV
5018008	KJV
5018014	KJV
5018019	KJV
5019001	KJV
5019003	KJV
5019010	KJV
5019013	KJV
5019014	KJV
5020001	KJV
5020009	KJV
5020018	KJV
5021001	KJV
5021009	KJV
5021014	KJV
5021017	KJV
5021021	KJV
5022001	KJV
5022004	KJV
5022007	KJV
5022008	KJV
5022011	KJV
5022012	KJV
5022021	KJV
5022022	KJV
5022024	KJV
5022027	KJV
5022029	KJV
5023001	KJV
5023001	KJV
5023002	KJV
5023006	KJV
5023008	KJV
5023014	KJV
5023016	KJV
5023018	KJV
5023020	KJV
5023023	KJV
5024001	KJV
5024004	KJV
5024005	KJV
5024006	KJV
5024007	KJV
5024009	KJV
5024013	KJV
5024015	KJV
5024016	KJV
5024018	KJV
5025001	KJV
5025003	KJV
5025004	KJV
5025010	KJV
5025012	KJV
5025016	KJV
5026001	KJV
5026011	KJV
5026015	KJV
5027001	KJV
5027008	KJV
5027010	KJV
5027013	KJV
5027014	KJV
5027015	KJV
5027016	KJV
5027017	KJV
5027018	KJV
5027019	KJV
5027020	KJV
5027021	KJV
5027022	KJV
5027023	KJV
5027024	KJV
5027025	KJV
5028001	KJV
5028006	KJV
5028014	KJV
5028019	KJV
5028024	KJV
5028035	KJV
5028046	KJV
5028057	KJV
5029001	KJV
5029001	KJV
5029009	KJV
5029013	KJV
5030001	KJV
5030010	KJV
5030014	KJV
5031001	KJV
5031006	KJV
5031008	KJV
5031013	KJV
5031019	KJV
5031023	KJV
5031027	KJV
5031029	KJV
5032043	KJV
5032047	KJV
5033001	KJV
5034001	KJV
5034004	KJV
5034008	KJV
5034009	KJV
6001001	KJV
6001009	KJV
6001011	KJV
6002001	KJV
6002007	KJV
6002014	KJV
6002021	KJV
6003001	KJV
6003006	KJV
6003013	KJV
6004001	KJV
6004007	KJV
6004014	KJV
6004018	KJV
6005001	KJV
6005001	KJV
6005009	KJV
6005012	KJV
6006001	KJV
6006007	KJV
6006011	KJV
6006014	KJV
6006021	KJV
6007001	KJV
6007001	KJV
6007005	KJV
6007009	KJV
6007015	KJV
6007021	KJV
6008001	KJV
6008002	KJV
6008009	KJV
6008017	KJV
6008023	KJV
6008029	KJV
6009001	KJV
6009002	KJV
6009015	KJV
6009021	KJV
6010001	KJV
6010005	KJV
6010011	KJV
6010014	KJV
6010015	KJV
6010021	KJV
6010027	KJV
6010028	KJV
6010030	KJV
6010032	KJV
6010033	KJV
6010035	KJV
6010037	KJV
6010039	KJV
6011001	KJV
6011005	KJV
6011009	KJV
6011015	KJV
6011020	KJV
6012001	KJV
6012006	KJV
6013001	KJV
6013014	KJV
6013023	KJV
6013028	KJV
6013031	KJV
6014001	KJV
6014005	KJV
6014012	KJV
6015001	KJV
6015012	KJV
6015019	KJV
6015020	KJV
6015047	KJV
6015062	KJV
6016001	KJV
6016004	KJV
6017001	KJV
6017006	KJV
6017013	KJV
6018001	KJV
6018007	KJV
6018010	KJV
6018020	KJV
6019001	KJV
6019009	KJV
6019016	KJV
6019023	KJV
6019031	KJV
6019039	KJV
6019048	KJV
6019050	KJV
6020001	KJV
6020006	KJV
6021001	KJV
6021003	KJV
6021007	KJV
6021012	KJV
6021019	KJV
6021026	KJV
6021033	KJV
6021040	KJV
6021042	KJV
6022001	KJV
6022006	KJV
6022009	KJV
6022012	KJV
6022020	KJV
6022029	KJV
6023001	KJV
6023013	KJV
6024001	KJV
6024013	KJV
6024015	KJV
6024018	KJV
6024028	KJV
6024031	KJV
7001001	KJV
7001007	KJV
7001010	KJV
7001015	KJV
7001021	KJV
7001026	KJV
7001028	KJV
7001029	KJV
7001030	KJV
7001032	KJV
7001033	KJV
7002001	KJV
7002005	KJV
7002010	KJV
7002015	KJV
7003001	KJV
7003006	KJV
7003011	KJV
7003014	KJV
7003023	KJV
7003025	KJV
7003030	KJV
7004001	KJV
7004003	KJV
7004010	KJV
7004011	KJV
7004016	KJV
7004022	KJV
7005001	KJV
7006001	KJV
7006006	KJV
7006010	KJV
7006018	KJV
7006024	KJV
7006027	KJV
7006032	KJV
7006035	KJV
7007001	KJV
7007001	KJV
7007003	KJV
7007008	KJV
7007014	KJV
7007018	KJV
7007023	KJV
7008001	KJV
7008003	KJV
7008009	KJV
7008012	KJV
7008017	KJV
7008021	KJV
7008028	KJV
7008032	KJV
7009001	KJV
7009006	KJV
7009021	KJV
7009025	KJV
7009029	KJV
7009033	KJV
7009040	KJV
7009045	KJV
7009049	KJV
7010001	KJV
7010002	KJV
7010005	KJV
7010009	KJV
7010016	KJV
7011001	KJV
7011003	KJV
7011011	KJV
7011028	KJV
7011033	KJV
7012001	KJV
7012006	KJV
7012007	KJV
7012010	KJV
7012012	KJV
7013001	KJV
7013001	KJV
7013007	KJV
7013014	KJV
7013020	KJV
7014001	KJV
7014004	KJV
7014009	KJV
7014014	KJV
